model,feature,importance,target,feature_clean,feature_group,economic_interpretation_allowed,interpretation_note
gradient_boosting,num__r_and_d_intensity,0.0022189835863969,success_resilience_next_4q,r_and_d_intensity,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__gross_margin,0.0020429560201601,success_resilience_next_4q,gross_margin,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__net_margin_lag1,0.0019106875956153,success_resilience_next_4q,net_margin_lag1,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__operating_margin_lag1,0.0018795686758853,success_resilience_next_4q,operating_margin_lag1,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__gross_margin_lag1,0.001854339863448,success_resilience_next_4q,gross_margin_lag1,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__total_liabilities,0.0018408585607939,success_resilience_next_4q,total_liabilities,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__RSAFS,3.045266245708135,failure_pressure_conservative_v2_next_4obs,RSAFS,Macro conditions,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__r_and_d_intensity,2.530077557381325,failure_pressure_conservative_v2_next_4obs,r_and_d_intensity,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,cat__Sector_Consumer Defensive,2.466575188671413,failure_pressure_conservative_v2_next_4obs,Sector: Consumer Defensive,Industry / sector,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,cat__Sector_Financial Services,2.022952036170569,failure_pressure_conservative_v2_next_4obs,Sector: Financial Services,Industry / sector,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__CPIAUCSL,1.704298910415111,failure_pressure_conservative_v2_next_4obs,CPIAUCSL,Macro conditions,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__GDPC1,1.6841979263911662,failure_pressure_conservative_v2_next_4obs,GDPC1,Macro conditions,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__BUSLOANS,1.6445395380898795,failure_pressure_conservative_v2_next_4obs,BUSLOANS,Macro conditions,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,cat__Sector_Energy,1.4183432182389308,failure_pressure_conservative_v2_next_4obs,Sector: Energy,Industry / sector,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__UNRATE,1.4011588724847286,failure_pressure_conservative_v2_next_4obs,UNRATE,Macro conditions,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__missingindicator_current_liabilities_growth_4obs,1.3194936083228717,failure_pressure_conservative_v2_next_4obs,Missing: current_liabilities_growth_4obs,Missingness indicators,False,Reporting/data-availability indicator; keep separate from economic factor interpretation.
logistic_l2,num__missingindicator_total_assets_growth_4obs,1.257270848339009,failure_pressure_conservative_v2_next_4obs,Missing: total_assets_growth_4obs,Missingness indicators,False,Reporting/data-availability indicator; keep separate from economic factor interpretation.
logistic_l2,num__net_income_negative_count_prior_4obs,1.1746429783042136,failure_pressure_conservative_v2_next_4obs,net_income_negative_count_prior_4obs,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,cat__Sector_Consumer Discretionary,1.095070444483447,failure_pressure_conservative_v2_next_4obs,Sector: Consumer Discretionary,Industry / sector,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__missingindicator_current_ratio_change_4obs,0.9669189029445956,failure_pressure_conservative_v2_next_4obs,Missing: current_ratio_change_4obs,Missingness indicators,False,Reporting/data-availability indicator; keep separate from economic factor interpretation.
logistic_l2,num__CPIAUCSL_yoy_pct,0.8727383241926968,failure_pressure_conservative_v2_next_4obs,CPIAUCSL_yoy_pct,Macro conditions,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__roa,0.7942941387740948,failure_pressure_conservative_v2_next_4obs,roa,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__M2SL,0.789136413409487,failure_pressure_conservative_v2_next_4obs,M2SL,Macro conditions,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__missingindicator_total_liabilities_growth_4obs,0.7855119308951837,failure_pressure_conservative_v2_next_4obs,Missing: total_liabilities_growth_4obs,Missingness indicators,False,Reporting/data-availability indicator; keep separate from economic factor interpretation.
logistic_l2,num__missingindicator_leverage_assets_change_4obs,0.7852176233806946,failure_pressure_conservative_v2_next_4obs,Missing: leverage_assets_change_4obs,Missingness indicators,False,Reporting/data-availability indicator; keep separate from economic factor interpretation.
logistic_l2,num__gross_margin_change_4obs,0.755620381796714,failure_pressure_conservative_v2_next_4obs,gross_margin_change_4obs,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__current_assets,0.7156626775873419,failure_pressure_conservative_v2_next_4obs,current_assets,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__total_liabilities,0.675866942853999,failure_pressure_conservative_v2_next_4obs,total_liabilities,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__operating_income,0.6290400539716308,failure_pressure_conservative_v2_next_4obs,operating_income,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__missingindicator_net_margin,0.5947946791557285,failure_pressure_conservative_v2_next_4obs,Missing: net_margin,Missingness indicators,False,Reporting/data-availability indicator; keep separate from economic factor interpretation.
logistic_l2,num__PAYEMS,0.5868102645045047,failure_pressure_conservative_v2_next_4obs,PAYEMS,Macro conditions,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__net_margin,0.5824075593459764,failure_pressure_conservative_v2_next_4obs,net_margin,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__missingindicator_cash_assets_change_4obs,0.5629372651160551,failure_pressure_conservative_v2_next_4obs,Missing: cash_assets_change_4obs,Missingness indicators,False,Reporting/data-availability indicator; keep separate from economic factor interpretation.
logistic_l2,num__missingindicator_current_ratio,0.5625265891863821,failure_pressure_conservative_v2_next_4obs,Missing: current_ratio,Missingness indicators,False,Reporting/data-availability indicator; keep separate from economic factor interpretation.
logistic_l2,num__tight_financial_conditions,0.556134190089381,failure_pressure_conservative_v2_next_4obs,tight_financial_conditions,Macro regime / time,True,Substantive model feature group usable for economic interpretation with normal caveats.
logistic_l2,num__missingindicator_current_assets,0.5007039051893718,failure_pressure_conservative_v2_next_4obs,Missing: current_assets,Missingness indicators,False,Reporting/data-availability indicator; keep separate from economic factor interpretation.
random_forest,num__roa,0.0992037802516426,failure_pressure_conservative_v2_next_4obs,roa,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__net_income,0.0948424888135764,failure_pressure_conservative_v2_next_4obs,net_income,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__net_income_negative_count_prior_4obs,0.0747781527281021,failure_pressure_conservative_v2_next_4obs,net_income_negative_count_prior_4obs,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__roa_lag1,0.0653917222974576,failure_pressure_conservative_v2_next_4obs,roa_lag1,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__operating_income,0.0573115132135172,failure_pressure_conservative_v2_next_4obs,operating_income,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__net_margin,0.0554366530892307,failure_pressure_conservative_v2_next_4obs,net_margin,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__net_margin_lag1,0.0374470536517261,failure_pressure_conservative_v2_next_4obs,net_margin_lag1,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__operating_margin,0.0351178181639438,failure_pressure_conservative_v2_next_4obs,operating_margin,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__operating_margin_lag1,0.0326879930162756,failure_pressure_conservative_v2_next_4obs,operating_margin_lag1,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__total_equity,0.025284983238505,failure_pressure_conservative_v2_next_4obs,total_equity,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__total_assets,0.0217470053449159,failure_pressure_conservative_v2_next_4obs,total_assets,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__current_assets,0.02065364771522,failure_pressure_conservative_v2_next_4obs,current_assets,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__current_liabilities,0.0182911417497137,failure_pressure_conservative_v2_next_4obs,current_liabilities,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__cash_flow_operating,0.0132408625237197,failure_pressure_conservative_v2_next_4obs,cash_flow_operating,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__cash_equivalents,0.012024108040494,failure_pressure_conservative_v2_next_4obs,cash_equivalents,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__roa_change_4obs,0.011913581297665,failure_pressure_conservative_v2_next_4obs,roa_change_4obs,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__total_revenue,0.0117092040953978,failure_pressure_conservative_v2_next_4obs,total_revenue,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__total_liabilities,0.0109746162838101,failure_pressure_conservative_v2_next_4obs,total_liabilities,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__total_revenue_growth_4obs,0.0103338001310937,failure_pressure_conservative_v2_next_4obs,total_revenue_growth_4obs,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__net_margin_change_4obs,0.0099880877314931,failure_pressure_conservative_v2_next_4obs,net_margin_change_4obs,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,cat__Sector_Energy,0.0095674462240313,failure_pressure_conservative_v2_next_4obs,Sector: Energy,Industry / sector,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__total_assets_growth_4obs,0.0091472836376542,failure_pressure_conservative_v2_next_4obs,total_assets_growth_4obs,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__operating_margin_change_4obs,0.008363707579304,failure_pressure_conservative_v2_next_4obs,operating_margin_change_4obs,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__receivables_assets,0.0073899893449691,failure_pressure_conservative_v2_next_4obs,receivables_assets,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__current_assets_growth_4obs,0.0070330570548102,failure_pressure_conservative_v2_next_4obs,current_assets_growth_4obs,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__cash_assets,0.0069879491862079,failure_pressure_conservative_v2_next_4obs,cash_assets,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__equity_assets,0.0065419699006128,failure_pressure_conservative_v2_next_4obs,equity_assets,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__cash_assets_lag1,0.0065069117428196,failure_pressure_conservative_v2_next_4obs,cash_assets_lag1,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__gross_profit,0.0058631786561097,failure_pressure_conservative_v2_next_4obs,gross_profit,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
random_forest,num__current_ratio,0.0055267338201751,failure_pressure_conservative_v2_next_4obs,current_ratio,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__net_income,0.6037984993433579,failure_pressure_conservative_v2_next_4obs,net_income,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__net_income_negative_count_prior_4obs,0.1251041367928505,failure_pressure_conservative_v2_next_4obs,net_income_negative_count_prior_4obs,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,cat__Sector_Energy,0.0351780420732195,failure_pressure_conservative_v2_next_4obs,Sector: Energy,Industry / sector,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__roa_lag1,0.0337924230441253,failure_pressure_conservative_v2_next_4obs,roa_lag1,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__roa,0.0204792457461603,failure_pressure_conservative_v2_next_4obs,roa,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__net_margin_lag1,0.0196319615918545,failure_pressure_conservative_v2_next_4obs,net_margin_lag1,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__operating_income,0.0144353350320816,failure_pressure_conservative_v2_next_4obs,operating_income,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__total_revenue_growth_4obs,0.0102838648714277,failure_pressure_conservative_v2_next_4obs,total_revenue_growth_4obs,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__BUSLOANS_yoy_pct,0.0092186266870922,failure_pressure_conservative_v2_next_4obs,BUSLOANS_yoy_pct,Macro conditions,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,cat__Sector_Financial Services,0.0083156521047438,failure_pressure_conservative_v2_next_4obs,Sector: Financial Services,Industry / sector,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__operating_margin,0.0078635199600942,failure_pressure_conservative_v2_next_4obs,operating_margin,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__operating_margin_change_4obs,0.0074162883110394,failure_pressure_conservative_v2_next_4obs,operating_margin_change_4obs,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__total_assets,0.0066593408385202,failure_pressure_conservative_v2_next_4obs,total_assets,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__total_revenue,0.0065085350745197,failure_pressure_conservative_v2_next_4obs,total_revenue,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__total_equity,0.0056940872564222,failure_pressure_conservative_v2_next_4obs,total_equity,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__PAYEMS_yoy_pct,0.0052502156046411,failure_pressure_conservative_v2_next_4obs,PAYEMS_yoy_pct,Macro conditions,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__operating_margin_lag1,0.005098442175691,failure_pressure_conservative_v2_next_4obs,operating_margin_lag1,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__inventory_assets,0.0049751134998518,failure_pressure_conservative_v2_next_4obs,inventory_assets,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__current_liabilities,0.0042545898438723,failure_pressure_conservative_v2_next_4obs,current_liabilities,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__current_assets_growth_4obs,0.003815840888051,failure_pressure_conservative_v2_next_4obs,current_assets_growth_4obs,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__receivables_assets,0.0031362521125903,failure_pressure_conservative_v2_next_4obs,receivables_assets,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__HOUST,0.0030477383474316,failure_pressure_conservative_v2_next_4obs,HOUST,Macro conditions,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__DTWEXBGS_yoy_pct,0.0025661066677802,failure_pressure_conservative_v2_next_4obs,DTWEXBGS_yoy_pct,Macro conditions,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__gross_margin_change_4obs,0.002359282371443,failure_pressure_conservative_v2_next_4obs,gross_margin_change_4obs,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__DCOILWTICO_yoy_pct,0.002084220685919,failure_pressure_conservative_v2_next_4obs,DCOILWTICO_yoy_pct,Macro conditions,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__capex,0.0019968748424863,failure_pressure_conservative_v2_next_4obs,capex,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__total_liabilities,0.0018945216939989,failure_pressure_conservative_v2_next_4obs,total_liabilities,Accounting fundamentals,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__current_ratio,0.0018689071580129,failure_pressure_conservative_v2_next_4obs,current_ratio,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__net_margin,0.0017862150141009,failure_pressure_conservative_v2_next_4obs,net_margin,Financial ratios,True,Substantive model feature group usable for economic interpretation with normal caveats.
gradient_boosting,num__cash_assets_lag1,0.0017372837314103,failure_pressure_conservative_v2_next_4obs,cash_assets_lag1,Firm trend / deterioration,True,Substantive model feature group usable for economic interpretation with normal caveats.
